,id,repost_of,name,url,datetime,last_updated,price,where,has_image,geotag,deleted
32,7396959538,7279267424,1 Bed Available in 2Bed/2Bath,https://losangeles.craigslist.org/sfv/roo/d/north-hollywood-bed-available-in-2bed/7396959538.html,2021-10-20 17:25,2021-10-20 17:25,"$1,250",North Hollywood/Toluca Lake san fernando valley ,True,"(34.15669, -118.368073)",False
33,7394139312,7337376110,1bed/1bath,https://losangeles.craigslist.org/sfv/roo/d/van-nuys-1bed-1bath/7394139312.html,2021-10-20 16:44,2021-10-20 16:44,$700, san fernando valley ,True,"(34.2006, -118.4868)",False
34,7396943685,,Cuarto espacioso - baño privado con lavadora y secadora,https://losangeles.craigslist.org/sfv/roo/d/woodland-hills-cuarto-espacioso-bao/7396943685.html,2021-10-20 16:43,2021-10-20 16:43,"$1,000",West Hills san fernando valley ,True,"(34.1963, -118.6389)",False
35,7389089895,7355423505,Furnished Master Bedroom For Rent in large 2 bedroom Condo-Female Only,https://losangeles.craigslist.org/sfv/roo/d/tarzana-furnished-master-bedroom-for/7389089895.html,2021-10-20 16:13,2021-10-20 16:13,$850,Tarzana san fernando valley ,True,"(34.177743, -118.535228)",False
36,7396899028,,Lovely Big Bedroom,https://losangeles.craigslist.org/sfv/roo/d/tarzana-lovely-big-bedroom/7396899028.html,2021-10-20 14:53,2021-10-20 14:53,$900,Tarzana san fernando valley ,True,"(34.186404, -118.553518)",False
37,7393702752,,Large Room for rent,https://losangeles.craigslist.org/sfv/roo/d/burbank-large-room-for-rent/7393702752.html,2021-10-20 14:32,2021-10-20 14:32,"$1,395",Burbank san fernando valley ,True,"(34.169, -118.3442)",False
38,7395104077,,Room for rent,https://losangeles.craigslist.org/sfv/roo/d/tarzana-room-for-rent/7395104077.html,2021-10-20 13:58,2021-10-20 13:58,$850,Lake Balboa san fernando valley ,True,"(34.146379, -118.555615)",False
39,7394691275,,Bedroom..motorhome.,https://losangeles.craigslist.org/sfv/roo/d/los-angeles-bedroommotorhome/7394691275.html,2021-10-20 13:34,2021-10-20 13:34,$600,hollywood san fernando valley ,False,"(34.104, -118.2925)",False
40,7395591022,,"Room in lovely Burbank home, all utilities included",https://losangeles.craigslist.org/sfv/roo/d/burbank-room-in-lovely-burbank-home-all/7395591022.html,2021-10-20 13:27,2021-10-20 13:27,"$1,195",Burbank san fernando valley ,True,"(34.169, -118.3442)",False
41,7395124043,4894696707,Share townhouse with view of valley,https://losangeles.craigslist.org/sfv/roo/d/mission-hills-share-townhouse-with-view/7395124043.html,2021-10-20 12:10,2021-10-20 12:10,"$1,175",Granada Hills san fernando valley ,True,"(34.280535, -118.472207)",False
42,7396797463,,"Furnished Room located in a Gated Community, 5 minutes away from CSUN!",https://losangeles.craigslist.org/sfv/roo/d/northridge-furnished-room-located-in/7396797463.html,2021-10-20 11:41,2021-10-20 11:41,"$1,195",Northridge san fernando valley ,True,"(34.2353, -118.5188)",False
43,7396744146,7382720659,"$565 Private room available at this upscale 2 bed, 2 bath rent house",https://losangeles.craigslist.org/sfv/roo/d/valencia-565-private-room-available-at/7396744146.html,2021-10-20 11:30,2021-10-20 11:30,$565,"Valencia, CA san fernando valley ",False,"(34.4466, -118.5374)",False
44,7395215419,4678344052,Huge Master Bedroom in Pasadena House Great for Students!!!,https://losangeles.craigslist.org/sfv/roo/d/huge-master-bedroom-in-pasadena-house/7395215419.html,2021-10-20 10:07,2021-10-20 10:07,"$1,345",Pasadena san fernando valley ,True,"(34.1678, -118.1261)",False
45,7395756922,6671844164,1 quiet Bed+Private Bath,https://losangeles.craigslist.org/sfv/roo/d/tarzana-quiet-bedprivate-bath/7395756922.html,2021-10-20 09:15,2021-10-20 09:15,"$1,200",Tarzana san fernando valley ,True,"(34.177246, -118.544176)",False
46,7396708755,5704129578,"Private owner, Great Room avai 1st 2 people special, couples welcome",https://losangeles.craigslist.org/sfv/roo/d/north-hills-private-owner-great-room/7396708755.html,2021-10-20 09:11,2021-10-20 09:11,"$1,100",North Hills san fernando valley ,True,"(34.2366, -118.4758)",False
47,7388662441,,"***Awesome, walkable NoHo location by dog park!",https://losangeles.craigslist.org/sfv/roo/d/burbank-awesome-walkable-noho-location/7388662441.html,2021-10-20 09:09,2021-10-20 09:09,"$2,595",North Hollywood san fernando valley ,True,"(34.178005, -118.361612)",False
48,7394755382,,Peaceful Private Room / Bath,https://losangeles.craigslist.org/sfv/roo/d/frazier-park-peaceful-private-room-bath/7394755382.html,2021-10-20 09:07,2021-10-20 09:07,$500, san fernando valley ,False,"(34.8265, -119.0355)",False
49,7393471201,,Glendale - Great Place!!!,https://losangeles.craigslist.org/sfv/roo/d/la-crescenta-glendale-great-place/7393471201.html,2021-10-20 07:08,2021-10-20 07:08,"$1,100",La Crescenta san fernando valley ,True,"(34.2316, -118.2457)",False
50,7396599644,,BEDROOM on Topanga Cyn-near Dumetz Ave,https://losangeles.craigslist.org/sfv/roo/d/woodland-hills-bedroom-on-topanga-cyn/7396599644.html,2021-10-20 06:50,2021-10-20 06:50,$675,Woodland Hills san fernando valley ,False,"(34.1557, -118.6)",False
51,7387206788,,$920.00 master bedroom available,https://losangeles.craigslist.org/sfv/roo/d/tujunga-master-bedroom-available/7387206788.html,2021-10-20 05:21,2021-10-20 05:21,$920,Tujunga san fernando valley ,True,"(34.255, -118.2975)",False
52,7396576046,,1 bedroom 1 bath in Chatsworth,https://losangeles.craigslist.org/sfv/roo/d/chatsworth-bedroom-bath-in-chatsworth/7396576046.html,2021-10-20 02:18,2021-10-20 02:18,"$1,200",Chatsworth san fernando valley ,True,"(34.257776, -118.614444)",False
53,7391503918,7214833197,Private Master bedroom and Bathroom,https://losangeles.craigslist.org/sfv/roo/d/woodland-hills-private-master-bedroom/7391503918.html,2021-10-20 00:09,2021-10-20 00:09,"$1,300",Woodland Hills san fernando valley ,True,"(34.1557, -118.6)",False
54,7396565333,,ROOM FOR RENT - $950,https://losangeles.craigslist.org/sfv/roo/d/winnetka-room-for-rent-950/7396565333.html,2021-10-19 23:33,2021-10-19 23:33,$950,Winnetka san fernando valley ,True,"(34.209514, -118.574326)",False
55,7396562701,,"Master bedroom for $850/mo, walking distance to CSUN",https://losangeles.craigslist.org/sfv/roo/d/northridge-master-bedroom-for-850-mo/7396562701.html,2021-10-19 23:18,2021-10-19 23:18,$850,Northridge san fernando valley ,False,"(34.2367, -118.5466)",False
56,7396560861,,SUNLAND ROOM FOR RENT-huge master/own bathroom,https://losangeles.craigslist.org/sfv/roo/d/sunland-sunland-room-for-rent-huge/7396560861.html,2021-10-19 22:48,2021-10-19 22:48,"$1,450",sunland/tujunga san fernando valley ,True,"(34.2618, -118.3371)",False
57,7394762573,7016817477,Private room and bath in beautiful Tarzana townhouse,https://losangeles.craigslist.org/sfv/roo/d/tarzana-private-room-and-bath-in/7394762573.html,2021-10-19 22:37,2021-10-19 22:37,"$1,200",Tarzana san fernando valley ,True,"(34.177005, -118.544718)",False
58,7396534666,7391447832,Studio for Rent,https://losangeles.craigslist.org/sfv/roo/d/woodland-hills-studio-for-rent/7396534666.html,2021-10-19 20:01,2021-10-19 20:01,"$1,395",Woodland Hills san fernando valley ,True,"(34.149216, -118.595524)",False
59,7394531502,,Beautiful High Ceiling Master Bedroom,https://losangeles.craigslist.org/sfv/roo/d/encino-beautiful-high-ceiling-master/7394531502.html,2021-10-19 18:37,2021-10-19 18:37,"$1,090",Encino san fernando valley ,True,"(34.164444, -118.524522)",False
60,7396499682,7026638207,Private Apt attacted to house for rent,https://losangeles.craigslist.org/sfv/roo/d/northridge-private-apt-attacted-to/7396499682.html,2021-10-19 17:53,2021-10-19 17:53,"$1,200",Northridge san fernando valley ,True,"(34.2353, -118.5188)",False
61,7396497290,7025783902,Private studio-like 1 bedroom /1 Bath GUEST ROOM,https://losangeles.craigslist.org/sfv/roo/d/burbank-private-studio-like-bedroom/7396497290.html,2021-10-19 17:45,2021-10-19 17:45,"$1,375",UTILITIES INCLUDED - BURBANK san fernando valley ,True,"(34.171306, -118.30861)",False
62,7396493600,,Furnished room with private en suite bathroom,https://losangeles.craigslist.org/sfv/roo/d/reseda-furnished-room-with-private-en/7396493600.html,2021-10-19 17:34,2021-10-19 17:34,"$1,200",Northridge san fernando valley ,True,"(34.186404, -118.540318)",False
63,7396485747,,Room for rent,https://losangeles.craigslist.org/sfv/roo/d/winnetka-room-for-rent/7396485747.html,2021-10-19 17:11,2021-10-19 17:11,$800,Winnetka san fernando valley ,False,"(34.2092, -118.5749)",False
64,7394993917,7126010480,Room For Rent in Encino,https://losangeles.craigslist.org/sfv/roo/d/encino-room-for-rent-in-encino/7394993917.html,2021-10-19 15:21,2021-10-19 15:21,"$1,150",Encino san fernando valley ,True,"(34.1655, -118.5175)",False
65,7389090178,7255089994,Woodland Hills south of blvd home with pool-Guest Room available,https://losangeles.craigslist.org/sfv/roo/d/woodland-hills-woodland-hills-south-of/7389090178.html,2021-10-19 14:42,2021-10-19 14:42,"$1,400",woodland hills san fernando valley ,True,"(34.1557, -118.6)",False
66,7396409187,7288171792,Room for rent,https://losangeles.craigslist.org/sfv/roo/d/canyon-country-room-for-rent/7396409187.html,2021-10-19 14:07,2021-10-19 14:07,$950,Santa Clarita san fernando valley ,True,"(34.42, -118.45)",False
67,7396383436,,"$1,200 Roommate to Share Awesome Townhouse",https://losangeles.craigslist.org/sfv/roo/d/tarzana-1200-roommate-to-share-awesome/7396383436.html,2021-10-19 13:18,2021-10-19 13:18,"$1,200",Tarzana san fernando valley ,True,"(34.177005, -118.544718)",False
68,7396373611,7368043101,Beautiful Sunny Huge Private Bedroom and Bathroom,https://losangeles.craigslist.org/sfv/roo/d/north-hollywood-beautiful-sunny-huge/7396373611.html,2021-10-19 12:58,2021-10-19 12:58,"$1,999",North Hollywood san fernando valley ,True,"(34.1687, -118.3713)",False
69,7396364279,,FURNISHED ROOM  off Malibu Canyon,https://losangeles.craigslist.org/sfv/roo/d/agoura-hills-furnished-room-off-malibu/7396364279.html,2021-10-19 12:41,2021-10-19 12:41,"$1,100",Calabasas san fernando valley ,True,"(34.1227, -118.7573)",False
70,7396353512,7372555612,ROOM FOR RENT,https://losangeles.craigslist.org/sfv/roo/d/north-hollywood-room-for-rent/7396353512.html,2021-10-19 12:26,2021-10-19 12:26,$900, san fernando valley ,True,"(34.2057, -118.4001)",False
71,7396345990,,Private Master Suite,https://losangeles.craigslist.org/sfv/roo/d/burbank-private-master-suite/7396345990.html,2021-10-19 12:08,2021-10-19 12:08,"$1,500",Mandalay Shores san fernando valley ,True,"(34.1833, -118.3123)",False
72,7396323491,7239018016,nice  room in west hills,https://losangeles.craigslist.org/sfv/roo/d/canoga-park-nice-room-in-west-hills/7396323491.html,2021-10-19 11:29,2021-10-19 11:29,"$1,150",west hills san fernando valley ,False,"(34.2197, -118.6111)",False
73,7396295568,7373747424,Huge Guest Suite + large bathroom in large house,https://losangeles.craigslist.org/sfv/roo/d/calabasas-huge-guest-suite-large/7396295568.html,2021-10-19 11:17,2021-10-19 11:17,"$1,700",Woodland Hills san fernando valley ,True,"(34.168334, -118.630672)",False
74,7396243970,6727753431,City lights view &huge private balcony. In a mansion.Must See!!ASAP,https://losangeles.craigslist.org/sfv/roo/d/woodland-hills-city-lights-view-huge/7396243970.html,2021-10-19 11:11,2021-10-19 11:11,"$1,150",Calabasas san fernando valley ,False,"(34.1683, -118.6059)",False
75,7396237114,6727753431,City lights view &huge private balcony. In a mansion.Must See!!ASAP,https://losangeles.craigslist.org/sfv/roo/d/woodland-hills-city-lights-view-huge/7396237114.html,2021-10-19 11:05,2021-10-19 11:05,"$1,450",Calabasas san fernando valley ,False,"(34.1683, -118.6059)",False
